country,city,biweek1,biweek2,biweek3,biweek4,biweek5,biweek6,biweek7,biweek8,biweek9,biweek10,biweek11,biweek12,biweek13,biweek14,biweek15,biweek16,biweek17,biweek18,biweek19,biweek20,biweek21,biweek22,biweek23,biweek24,biweek25,biweek26
US,GRAND RAPIDS,32.566875,36.38390203,39.35958497,34.76611859,47.53965615,32.93479908,43.05953927,46.15914306,31.88217397,40.06871953,27.84447214,29.95636111,21.34328546,24.095004,16.58824358,20.94958065,32.18017826,49.32923805,30.88748855,28.01042872,41.58249254,36.02170621,36.21516634,45.5952079,27.67422554,60.64672997
US,HARTFORD,37.80374174,37.94403379,34.51304675,52.20619929,30.49877371,38.88911649,39.76261783,36.60271494,29.70208968,30.81145686,37.57211244,20.85889763,24.16313331,22.53578602,17.09363463,22.08262606,34.93354262,20.20730152,19.74195683,61.4446743,29.03921327,46.44599528,29.50075458,37.62607563,35.45038539,58.9642008
US,INDIANAPOLIS,46.92306915,37.28790485,39.35072547,49.21498322,44.26655739,45.02600104,38.32296903,40.26457086,37.59047128,31.65045778,28.23917558,20.96584246,16.04320085,14.34039721,20.59546322,15.6722203,22.86503472,34.33626308,49.6564326,59.01251499,31.58804484,26.82245915,29.35529777,40.22936117,34.07194165,46.69830177
US,KANSAS CITY,45.73341475,46.89806283,37.9431461,41.43753669,36.47405237,34.05308415,41.3339677,30.76387077,36.53457856,26.2620549,20.71363199,22.66475216,12.89199042,21.64822999,21.05991045,40.50711381,18.45012463,31.87443546,30.67113691,31.24772756,33.79786399,32.55620326,29.53401423,52.25810849,28.16056011,60.8054263
US,LOS ANGELES,50.47478398,47.7968544,44.62118616,45.25834412,38.81250116,33.13420889,37.04963987,34.52419707,35.37514324,33.12325162,30.6074807,24.90516186,24.34641241,25.81319573,17.78466147,19.12866687,34.26975741,26.88361156,31.22074165,34.4803805,38.39543148,27.68350834,40.62652038,37.85711919,28.76872504,50.00973705
US,MILWAUKEE,39.50453059,34.89368826,40.89005225,43.68433717,32.6417076,36.05647107,35.5861893,36.57603746,46.9456038,39.64503542,38.3304594,28.63234668,28.43290943,18.64314573,18.75479271,17.99480184,22.50607858,31.19791285,31.49208172,38.10008477,41.42167336,34.54176781,40.0734668,38.64008504,34.92710593,32.880012
US,MINNEAPOLIS,45.7969548,42.56665833,38.68091301,46.25658127,43.04085166,37.8149745,42.48814028,38.87295697,38.13948286,30.58080994,25.92489337,14.15885172,22.65690513,17.22037709,16.80569352,29.48527662,28.64077388,32.63547081,45.9901967,41.3828773,31.60364685,40.70591508,36.08868334,42.11356462,30.71234522,55.54033555
US,NASHVILLE,43.17998635,47.23372655,41.60663407,61.36919107,40.24456821,31.29187262,49.84683806,53.56370219,40.70881048,40.41098712,36.42629151,25.66123924,23.32545802,11.08337808,23.56029179,23.04490619,24.86755313,22.58397874,30.10897412,10.91258622,31.16886208,39.87653818,30.26114985,42.88940162,35.08100106,39.67211074
US,NEW HAVEN,31.22680379,35.36723361,27.79336889,42.72522856,39.6683071,37.22313226,33.89521064,40.81221032,37.55121533,33.64733346,35.24751154,20.93150267,19.5658506,20.64140819,22.64360751,29.36236227,24.45139931,19.58685591,50.86580144,40.64601038,31.37407696,53.30083277,31.50382852,39.72866006,37.7027684,49.90969981
US,NEW ORLEANS,49.0562893,32.31267276,35.92754657,37.6954558,55.05211849,33.61553975,34.80324549,51.09618865,33.66643643,42.54242284,21.44215951,35.053272,35.51022682,16.40031834,28.78801659,31.65831578,36.91136579,27.12721251,36.68515858,33.32485215,24.10494733,39.48967303,39.18560541,40.71873767,31.06915739,66.8882048
